Logging event: Send to Machine 2 | System Time 1520061781.04 | Logical Clock 243 
Logging event: Internal | System Time 1520061781.25 | Logical Clock 244 
Logging event: Receive | System Time 1520061781.45 | Logical Clock 246 
Logging event: Internal | System Time 1520061781.65 | Logical Clock 247 
Logging event: Internal | System Time 1520061781.85 | Logical Clock 248 
Logging event: Send to Machine 1 | System Time 1520061782.06 | Logical Clock 249 
Logging event: Internal | System Time 1520061782.26 | Logical Clock 250 
Logging event: Internal | System Time 1520061782.46 | Logical Clock 251 
Logging event: Receive | System Time 1520061782.66 | Logical Clock 253 
Logging event: Internal | System Time 1520061782.87 | Logical Clock 254 
Logging event: Internal | System Time 1520061783.07 | Logical Clock 255 
Logging event: Send to Machine 1 | System Time 1520061783.27 | Logical Clock 256 
Logging event: Internal | System Time 1520061783.47 | Logical Clock 257 
Logging event: Internal | System Time 1520061783.68 | Logical Clock 258 
Logging event: Receive | System Time 1520061783.88 | Logical Clock 260 
Logging event: Send to Machine 2 | System Time 1520061784.09 | Logical Clock 261 
Logging event: Internal | System Time 1520061784.29 | Logical Clock 262 
Logging event: Receive | System Time 1520061784.49 | Logical Clock 263 
Logging event: Internal | System Time 1520061784.69 | Logical Clock 264 
Logging event: Receive | System Time 1520061784.9 | Logical Clock 265 
Logging event: Internal | System Time 1520061785.1 | Logical Clock 266 
Logging event: Send to Both Machines | System Time 1520061785.3 | Logical Clock 267 
Logging event: Internal | System Time 1520061785.5 | Logical Clock 268 
Logging event: Internal | System Time 1520061785.71 | Logical Clock 269 
Logging event: Receive | System Time 1520061785.91 | Logical Clock 271 
Logging event: Send to Machine 1 | System Time 1520061786.11 | Logical Clock 272 
Logging event: Send to Machine 2 | System Time 1520061786.31 | Logical Clock 273 
Logging event: Internal | System Time 1520061786.52 | Logical Clock 274 
Logging event: Receive | System Time 1520061786.72 | Logical Clock 276 
Logging event: Internal | System Time 1520061786.92 | Logical Clock 277 
Logging event: Send to Machine 2 | System Time 1520061787.12 | Logical Clock 278 
Logging event: Internal | System Time 1520061787.32 | Logical Clock 279 
Logging event: Receive | System Time 1520061787.52 | Logical Clock 280 
Logging event: Send to Both Machines | System Time 1520061787.72 | Logical Clock 281 
Logging event: Internal | System Time 1520061787.93 | Logical Clock 282 
Logging event: Internal | System Time 1520061788.13 | Logical Clock 283 
Logging event: Send to Machine 2 | System Time 1520061788.33 | Logical Clock 284 
Logging event: Internal | System Time 1520061788.53 | Logical Clock 285 
Logging event: Send to Both Machines | System Time 1520061788.73 | Logical Clock 286 
Logging event: Send to Machine 1 | System Time 1520061788.93 | Logical Clock 287 
Logging event: Send to Both Machines | System Time 1520061789.14 | Logical Clock 288 
Logging event: Internal | System Time 1520061789.34 | Logical Clock 289 
Logging event: Receive | System Time 1520061789.54 | Logical Clock 291 
Logging event: Internal | System Time 1520061789.75 | Logical Clock 292 
Logging event: Internal | System Time 1520061789.95 | Logical Clock 293 
Logging event: Receive | System Time 1520061790.15 | Logical Clock 294 
Logging event: Internal | System Time 1520061790.36 | Logical Clock 295 
Logging event: Receive | System Time 1520061790.56 | Logical Clock 296 
Logging event: Send to Machine 2 | System Time 1520061790.76 | Logical Clock 297 
Logging event: Receive | System Time 1520061790.96 | Logical Clock 298 
Logging event: Internal | System Time 1520061791.17 | Logical Clock 299 
Logging event: Internal | System Time 1520061791.37 | Logical Clock 300 
Logging event: Receive | System Time 1520061791.57 | Logical Clock 301 
Logging event: Receive | System Time 1520061791.77 | Logical Clock 302 
Logging event: Send to Machine 1 | System Time 1520061791.98 | Logical Clock 303 
Logging event: Internal | System Time 1520061792.18 | Logical Clock 304 
Logging event: Internal | System Time 1520061792.38 | Logical Clock 305 
Logging event: Receive | System Time 1520061792.59 | Logical Clock 307 
Logging event: Send to Machine 2 | System Time 1520061792.79 | Logical Clock 308 
Logging event: Internal | System Time 1520061792.99 | Logical Clock 309 
Logging event: Internal | System Time 1520061793.19 | Logical Clock 310 
Logging event: Send to Machine 2 | System Time 1520061793.39 | Logical Clock 311 
Logging event: Send to Machine 1 | System Time 1520061793.6 | Logical Clock 312 
Logging event: Send to Both Machines | System Time 1520061793.8 | Logical Clock 313 
Logging event: Send to Machine 2 | System Time 1520061794.0 | Logical Clock 314 
Logging event: Internal | System Time 1520061794.21 | Logical Clock 315 
Logging event: Internal | System Time 1520061794.41 | Logical Clock 316 
Logging event: Receive | System Time 1520061794.61 | Logical Clock 318 
Logging event: Receive | System Time 1520061794.82 | Logical Clock 319 
Logging event: Send to Both Machines | System Time 1520061795.02 | Logical Clock 320 
Logging event: Send to Machine 1 | System Time 1520061795.22 | Logical Clock 321 
Logging event: Send to Machine 1 | System Time 1520061795.43 | Logical Clock 322 
Logging event: Send to Both Machines | System Time 1520061795.63 | Logical Clock 323 
Logging event: Internal | System Time 1520061795.83 | Logical Clock 324 
Logging event: Internal | System Time 1520061796.04 | Logical Clock 325 
Logging event: Internal | System Time 1520061796.24 | Logical Clock 326 
Logging event: Internal | System Time 1520061796.44 | Logical Clock 327 
Logging event: Internal | System Time 1520061796.64 | Logical Clock 328 
Logging event: Receive | System Time 1520061796.85 | Logical Clock 330 
Logging event: Send to Machine 2 | System Time 1520061797.05 | Logical Clock 331 
