Logging event: Internal | System Time 1520061780.79 | Logical Clock 241 
Logging event: Receive | System Time 1520061780.99 | Logical Clock 243 
Logging event: Internal | System Time 1520061781.2 | Logical Clock 244 
Logging event: Send to Both Machines | System Time 1520061781.4 | Logical Clock 245 
Logging event: Internal | System Time 1520061781.6 | Logical Clock 246 
Logging event: Internal | System Time 1520061781.81 | Logical Clock 247 
Logging event: Internal | System Time 1520061782.01 | Logical Clock 248 
Logging event: Receive | System Time 1520061782.21 | Logical Clock 250 
Logging event: Internal | System Time 1520061782.42 | Logical Clock 251 
Logging event: Send to Machine 0 | System Time 1520061782.62 | Logical Clock 252 
Logging event: Internal | System Time 1520061782.82 | Logical Clock 253 
Logging event: Internal | System Time 1520061783.02 | Logical Clock 254 
Logging event: Internal | System Time 1520061783.23 | Logical Clock 255 
Logging event: Receive | System Time 1520061783.43 | Logical Clock 257 
Logging event: Internal | System Time 1520061783.63 | Logical Clock 258 
Logging event: Send to Both Machines | System Time 1520061783.83 | Logical Clock 259 
Logging event: Internal | System Time 1520061784.03 | Logical Clock 260 
Logging event: Internal | System Time 1520061784.23 | Logical Clock 261 
Logging event: Send to Both Machines | System Time 1520061784.44 | Logical Clock 262 
Logging event: Send to Machine 2 | System Time 1520061784.64 | Logical Clock 263 
Logging event: Send to Both Machines | System Time 1520061784.84 | Logical Clock 264 
Logging event: Internal | System Time 1520061785.04 | Logical Clock 265 
Logging event: Internal | System Time 1520061785.25 | Logical Clock 266 
Logging event: Receive | System Time 1520061785.45 | Logical Clock 268 
Logging event: Internal | System Time 1520061785.65 | Logical Clock 269 
Logging event: Send to Both Machines | System Time 1520061785.86 | Logical Clock 270 
Logging event: Internal | System Time 1520061786.06 | Logical Clock 271 
Logging event: Receive | System Time 1520061786.26 | Logical Clock 273 
Logging event: Internal | System Time 1520061786.46 | Logical Clock 274 
Logging event: Send to Both Machines | System Time 1520061786.66 | Logical Clock 275 
Logging event: Internal | System Time 1520061786.87 | Logical Clock 276 
Logging event: Internal | System Time 1520061787.07 | Logical Clock 277 
Logging event: Send to Machine 2 | System Time 1520061787.27 | Logical Clock 278 
Logging event: Send to Machine 0 | System Time 1520061787.48 | Logical Clock 279 
Logging event: Internal | System Time 1520061787.68 | Logical Clock 280 
Logging event: Receive | System Time 1520061787.89 | Logical Clock 282 
Logging event: Internal | System Time 1520061788.09 | Logical Clock 283 
Logging event: Internal | System Time 1520061788.3 | Logical Clock 284 
Logging event: Internal | System Time 1520061788.5 | Logical Clock 285 
Logging event: Internal | System Time 1520061788.7 | Logical Clock 286 
Logging event: Receive | System Time 1520061788.91 | Logical Clock 287 
Logging event: Receive | System Time 1520061789.11 | Logical Clock 288 
Logging event: Receive | System Time 1520061789.32 | Logical Clock 289 
Logging event: Send to Both Machines | System Time 1520061789.52 | Logical Clock 290 
Logging event: Internal | System Time 1520061789.73 | Logical Clock 291 
Logging event: Internal | System Time 1520061789.93 | Logical Clock 292 
Logging event: Send to Both Machines | System Time 1520061790.14 | Logical Clock 293 
Logging event: Internal | System Time 1520061790.34 | Logical Clock 294 
Logging event: Send to Machine 0 | System Time 1520061790.54 | Logical Clock 295 
Logging event: Internal | System Time 1520061790.75 | Logical Clock 296 
Logging event: Send to Both Machines | System Time 1520061790.95 | Logical Clock 297 
Logging event: Send to Machine 2 | System Time 1520061791.15 | Logical Clock 298 
Logging event: Internal | System Time 1520061791.36 | Logical Clock 299 
Logging event: Send to Machine 0 | System Time 1520061791.56 | Logical Clock 300 
Logging event: Send to Both Machines | System Time 1520061791.76 | Logical Clock 301 
Logging event: Send to Machine 2 | System Time 1520061791.97 | Logical Clock 302 
Logging event: Receive | System Time 1520061792.17 | Logical Clock 304 
Logging event: Send to Machine 2 | System Time 1520061792.37 | Logical Clock 305 
Logging event: Send to Both Machines | System Time 1520061792.58 | Logical Clock 306 
Logging event: Internal | System Time 1520061792.78 | Logical Clock 307 
Logging event: Internal | System Time 1520061792.98 | Logical Clock 308 
Logging event: Internal | System Time 1520061793.18 | Logical Clock 309 
Logging event: Internal | System Time 1520061793.38 | Logical Clock 310 
Logging event: Internal | System Time 1520061793.58 | Logical Clock 311 
Logging event: Receive | System Time 1520061793.78 | Logical Clock 313 
